client_id,firm_name,firm_size,practice_area,state,plan_tier,signed_date
CL-0044,Roberts Partners,11-25 Attorneys,Family Law,Illinois,Plus,2026-06-30
CL-0045,Miller & Associates,11-25 Attorneys,Estate Planning,Colorado,Standard,2026-05-08
CL-0046,Hall Law Firm,Solo Practitioner,Bankruptcy,North Carolina,Plus,2026-01-14
CL-0047,Garcia Law Firm,11-25 Attorneys,Immigration,New York,Plus,2026-08-12
CL-0048,Ramirez Law Group,11-25 Attorneys,Bankruptcy,California,Standard,2025-10-17
CL-0049,Reid Partners,2-10 Attorneys,Estate Planning,California,Standard,2025-10-22
CL-0050,Diaz Law Group,Solo Practitioner,Estate Planning,Texas,Standard,2025-05-12
CL-0051,Wood Legal,Solo Practitioner,Immigration,Ohio,Plus,2025-04-02
CL-0052,Clark Legal,2-10 Attorneys,General Practice,New York,Standard,2025-10-30
CL-0053,Adams Partners,11-25 Attorneys,General Practice,New York,Standard,2025-07-14
CL-0054,Zuniga Law Firm,2-10 Attorneys,Estate Planning,Texas,Plus,2026-06-28
CL-0055,Wong Law Firm,Solo Practitioner,Bankruptcy,Arizona,Standard,2025-06-08
CL-0056,Lynch Law Firm,Solo Practitioner,Personal Injury,Washington,Standard,2026-04-25
CL-0057,Jackson Law Group,26+ Attorneys,Real Estate,Colorado,Plus,2025-06-09
CL-0058,Daniel Law Group,2-10 Attorneys,Estate Planning,New York,Enterprise,2026-02-11
CL-0059,Martin Partners,11-25 Attorneys,General Practice,Florida,Standard,2025-09-11
CL-0060,Gray & Associates,11-25 Attorneys,Criminal Defense,North Carolina,Standard,2026-05-07
CL-0061,Mayo Law Group,11-25 Attorneys,General Practice,Ohio,Enterprise,2025-11-11
CL-0062,Bowman Law Group,2-10 Attorneys,Personal Injury,Texas,Standard,2025-06-09
CL-0063,Hawkins & Associates,Solo Practitioner,Real Estate,North Carolina,Standard,2025-10-29
CL-0064,Cohen & Associates,11-25 Attorneys,Real Estate,California,Plus,2026-07-06
CL-0065,Cameron Law Firm,Solo Practitioner,Personal Injury,Arizona,Standard,2025-08-16
CL-0066,Parsons Law Firm,2-10 Attorneys,Criminal Defense,Arizona,Standard,2025-11-27
CL-0067,Perez & Associates,Solo Practitioner,Estate Planning,Illinois,Standard,2026-07-12
CL-0068,Johnson Law Group,26+ Attorneys,Personal Injury,Colorado,Standard,2025-10-09
CL-0069,Stewart Law Group,2-10 Attorneys,Personal Injury,Pennsylvania,Plus,2026-01-16
CL-0070,Adams Partners,2-10 Attorneys,Family Law,California,Enterprise,2026-07-02
CL-0071,Clark Law Group,26+ Attorneys,Family Law,Texas,Standard,2026-08-03
CL-0072,Hahn & Associates,2-10 Attorneys,Real Estate,Texas,Standard,2025-05-09
CL-0073,Walter Partners,Solo Practitioner,Personal Injury,Pennsylvania,Standard,2025-11-08
CL-0074,Edwards Law Firm,2-10 Attorneys,Bankruptcy,Illinois,Standard,2025-05-23
CL-0075,Rios Legal,Solo Practitioner,Estate Planning,Illinois,Standard,2025-09-26
CL-0076,Foster & Associates,11-25 Attorneys,Criminal Defense,North Carolina,Standard,2026-04-10
CL-0077,Rocha Law Group,Solo Practitioner,Personal Injury,North Carolina,Standard,2026-01-18
CL-0078,Ellis Law Group,26+ Attorneys,Estate Planning,Ohio,Standard,2025-06-11
CL-0079,Baker & Associates,2-10 Attorneys,Bankruptcy,Texas,Plus,2025-11-27
CL-0080,Wright Legal,Solo Practitioner,Criminal Defense,Florida,Plus,2025-11-06
CL-0081,Hoffman Partners,2-10 Attorneys,Criminal Defense,Pennsylvania,Plus,2026-05-23
CL-0082,Baker Partners,2-10 Attorneys,Criminal Defense,Washington,Standard,2025-03-09
CL-0083,Richards & Associates,Solo Practitioner,Criminal Defense,Texas,Plus,2025-06-15
CL-0084,Hurst Partners,2-10 Attorneys,Family Law,Illinois,Standard,2025-06-18
CL-0085,Ross Partners,Solo Practitioner,Estate Planning,Colorado,Plus,2025-12-14
